aahed	17 (2399)  <----Thread-1
aalii	17 (2701)  <----Thread-0
aapas	17 (2644) 
aargh	15 (2178)  <----Thread-0
aarti	16 (2253)  <----Thread-1
abaci	18 (2273) 
abaca	15 (2446) 
abacs	16 (2277) 
aback	15 (2090)  <----Thread-1
abaft	15 (2080)  <----Thread-0
abaht	15 (2129) 
abamp	14 (1918)  <----Thread-1
abaka	16 (2477) 
abase	17 (2412) 
aband	16 (2004) 
abash	16 (2399) 
abask	16 (2280) 
abate	16 (2181) 
abaya	15 (2620) 
abbas	17 (2787) 
abbes	17 (2536) 
abbed	17 (2224) 
abbey	17 (2418) 
abbot	18 (2223) 
abcee	16 (2258) 
abeam	14 (2190) 
abear	17 (2297) 
abeat	16 (2215) 
abeer	17 (2310) 
abele	18 (2190) 
abeng	15 (1859)  <----Thread-0
abers	17 (2091) 
abets	16 (1997) 
abeys	17 (2208) 
abhor	17 (1912) 
abide	15 (1944) 
abies	15 (2198) 
abius	16 (2235) 
abjud	14 (2069) 
abjad	16 (2328) 
abled	15 (1730) 
abler	15 (1846)  <----Thread-0
ables	16 (2034) 
ablet	16 (1731) 
ablow	15 (1832) 
abmho	17 (1860) 
abnet	15 (1760) 
abode	15 (1971) 
abohm	17 (1832) 
aboil	19 (1871) 
aboma	18 (2141) 
aboon	18 (2253) 
abore	15 (2022) 
abord	17 (1768) 
aborn	17 (1791) 
abort	16 (1763) 
about	18 (1919) 
above	16 (2220) 
abram	14 (1905)  <----Thread-0
abray	16 (2139) 
abrim	16 (1687) 
abrin	16 (1758) 
abris	17 (2055) 
absey	17 (2111) 
absit	14 (1903)  <----Thread-0
abuna	15 (2215) 
abune	15 (1958) 
aburn	15 (1745) 
abura	15 (2139) 
abuse	16 (2155) 
abuts	15 (1986) 
abyes	17 (2192) 
abysm	14 (1913)  <----Thread-1
abuzz	15 (2586) 
acais	16 (2488) 
abyss	17 (2422) 
acari	18 (2243) 
acara	16 (2461) 
accas	17 (2799) 
accha	15 (2692) 
accoy	18 (2547) 
acedy	16 (1971) 
accra	16 (2490) 
acene	16 (2279) 
acerb	16 (1812) 
acers	17 (2101) 
aceta	16 (2257) 
achar	15 (2144) 
ached	16 (1959) 
acher	16 (2015) 
aches	16 (2203) 
achey	16 (2111) 
acids	16 (2033) 
achoo	18 (2498) 
acies	16 (2251) 
acidy	17 (1979) 
acing	17 (1889) 
acini	18 (2301) 
ackee	16 (2332) 
acker	16 (1965) 
acmes	15 (1981) 
acned	16 (1866) 
acmic	18 (2232) 
acnes	16 (2108) 
acoel	16 (1978) 
acock	18 (2374) 
acone	16 (2044) 
acold	18 (1728) 
acorn	17 (1845) 
acral	16 (1982) 
acred	17 (1877) 
acres	17 (2130) 
acrid	16 (1737) 
acron	17 (1855) 
acros	16 (2119) 
acryl	16 (1745) 
actas	16 (2276) 
acted	16 (1859) 
actin	17 (1831) 
acton	17 (1855) 
actor	16 (1880) 
actus	15 (2060) 
acute	15 (2022) 
acyls	18 (1984) 
adage	17 (2258) 
adapt	16 (1965) 
adats	17 (2293) 
adawn	16 (2175) 
adaws	17 (2416) 
adays	17 (2463) 
adbot	17 (1754) 
addas	18 (2809) 
addax	16 (2893) 
added	18 (2780) 
adder	18 (2356) 
addin	18 (2321) 
addio	19 (2503) 
addle	19 (2246) 
addra	17 (2437) 
adead	18 (2779) 
adept	16 (1715) 
adeem	15 (2188) 
adhoc	17 (1981) 
adhan	16 (2136) 
adieu	16 (2212) 
adios	17 (2227) 
adits	17 (2064) 
adlib	16 (1669) 
admen	14 (1759)  <----Thread-0
adman	14 (1974) 
admin	17 (1763) 
admit	17 (1740) 
adnex	17 (2229) 
admix	18 (2127) 
adobe	15 (1966) 
adobo	18 (2178) 
adoon	18 (2259) 
adopt	17 (1691) 
adorb	17 (1753) 
adore	15 (2053) 
adorn	17 (1864) 
adown	17 (1930) 
adoze	15 (2341) 
adrad	17 (2483) 
adraw	16 (2093) 
adred	18 (2341) 
