aback	8 (6)  <----
abase	9 (8) 
abate	8 (7) 
abbey	8 (7) 
abbot	8 (9) 
abhor	7 (3)  <----
abide	9 (6) 
abled	8 (3) 
abode	7 (3) 
abort	9 (4) 
about	7 (4) 
above	7 (4) 
abuse	9 (8) 
abyss	8 (6) 
acorn	8 (3) 
acrid	8 (3) 
actor	8 (6) 
acute	9 (10) 
adage	8 (6) 
adapt	9 (3) 
adept	8 (6) 
admin	6 (0)  <----
admit	8 (3) 
adobe	7 (3) 
adopt	7 (1) 
adore	6 (0) 
adorn	8 (2) 
adult	7 (1) 
affix	8 (12) 
afire	8 (9) 
afoot	8 (7) 
afoul	9 (3) 
after	8 (3) 
again	9 (6) 
agape	8 (7) 
agate	8 (6) 
agent	8 (3) 
agile	9 (7) 
aging	9 (9) 
aglow	7 (1) 
agony	7 (2) 
agora	7 (3) 
agree	8 (10) 
ahead	7 (3) 
aider	9 (9) 
aisle	8 (10) 
alarm	9 (6) 
album	7 (1) 
alert	6 (0) 
algae	9 (4) 
alibi	7 (3) 
alien	9 (4) 
align	8 (6) 
alike	8 (9) 
alive	9 (9) 
allay	7 (5) 
alley	8 (6) 
allot	8 (8) 
allow	7 (2) 
alloy	7 (3) 
aloft	8 (5) 
alone	9 (6) 
along	8 (5) 
aloof	8 (4) 
aloud	9 (4) 
alpha	6 (0) 
altar	8 (6) 
alter	8 (5) 
amass	7 (1) 
amaze	8 (12) 
amber	7 (2) 
amble	8 (2) 
amend	7 (1) 
amiss	7 (4) 
amity	7 (4) 
among	7 (2) 
ample	8 (4) 
amply	6 (0) 
amuse	7 (1) 
angel	8 (4) 
anger	8 (3) 
angle	8 (5) 
angry	7 (3) 
angst	7 (4) 
anime	8 (3) 
ankle	8 (5) 
annex	8 (15) 
annoy	8 (5) 
annul	8 (5) 
anode	8 (3) 
antic	7 (6) 
anvil	8 (6) 
aorta	8 (8) 
apart	9 (7) 
aphid	7 (1) 
aping	9 (5) 
apnea	9 (10) 
apple	8 (5) 
apply	7 (3) 
apron	9 (4) 
aptly	7 (2) 
arbor	8 (7) 
ardor	9 (10) 
arena	7 (1) 
argue	8 (6) 
arise	10 (8) 
armor	8 (6) 
aroma	7 (1) 
arose	9 (8) 
array	8 (12) 
arrow	9 (8) 
arson	9 (5) 
artsy	7 (4) 
ascot	9 (7) 
ashen	7 (1) 
aside	9 (4) 
askew	7 (2) 
assay	9 (11) 
asset	8 (9) 
atoll	8 (8) 
atone	8 (3) 
attic	8 (13) 
audio	7 (3) 
audit	9 (8) 
augur	9 (7) 
aunty	7 (2) 
avail	9 (9) 
avert	8 (3) 
avian	9 (4) 
avoid	7 (1) 
await	8 (10) 
awake	8 (12) 
award	9 (6) 
aware	9 (9) 
awash	7 (1) 
awful	8 (2) 
awoke	7 (5) 
axial	8 (9) 
axiom	8 (7) 
axion	8 (8) 
azure	9 (7) 
bacon	8 (8) 
badge	7 (3) 
badly	7 (2) 
bagel	8 (6) 
baggy	7 (6) 
baker	7 (5) 
baler	8 (6) 
balmy	6 (0) 
banal	8 (4) 
banjo	8 (9) 
barge	8 (6) 
baron	8 (8) 
basal	7 (4) 
basic	8 (5) 
basil	7 (4) 
basin	6 (0) 
basis	9 (8) 
baste	7 (2) 
batch	7 (1) 
bathe	7 (3) 
baton	7 (3) 
batty	7 (4) 
bawdy	6 (0) 
bayou	8 (8) 
beach	9 (7) 
beady	8 (6) 
beard	8 (5) 
beast	7 (3) 
beech	7 (2) 
beefy	7 (3) 
befit	8 (8) 
began	8 (5) 
begat	7 (3) 
beget	8 (7) 
begin	8 (5) 
begun	8 (4) 
being	8 (6) 
belch	8 (5) 
belie	8 (5) 
belle	8 (5) 
belly	7 (5) 
below	7 (3) 
bench	7 (2) 
beret	7 (3) 
berry	8 (14) 
berth	7 (1) 
beset	7 (4) 
betel	8 (7) 
bevel	8 (6) 
bezel	8 (4) 
bible	8 (6) 
bicep	8 (4) 
biddy	8 (5) 
bigot	7 (6) 
bilge	8 (3) 
billy	7 (1) 
binge	8 (7) 
bingo	8 (7) 
biome	8 (8) 
birch	7 (3) 
birth	7 (1) 
bison	7 (2) 
bitty	7 (6) 
black	6 (0) 
blade	8 (4) 
blame	8 (2) 
bland	7 (1) 
blank	6 (0) 
blare	8 (3) 
blast	6 (0) 
